Reference,Group,Genus,Species,ID,Habitat,Volume,Temperature,Growth
Martinez 1980,Ciliates,Strombidium,Strombidium sulcatum,AT,Marine,19388,20,0.93
Martinez 1980,Ciliates,Strombidium,Strombidium sulcatum,AT,Marine,19388,25,1.29
Martinez 1980,Ciliates,Strombidium,Strombidium sulcatum,AT,Marine,19388,27,1.46
Martinez 1980,Ciliates,Strombidium,Strombidium sulcatum,AT,Marine,19388,29,1.67
Martinez 1980,Ciliates,Strombidium,Strombidium sulcatum,AT,Marine,19388,31,2.3
Martinez 1980,Ciliates,Strombidium,Strombidium sulcatum,AT,Marine,19388,33,1.07
Martinez 1980,Ciliates,Euplotes,Euplotes harpa,AU,Marine,578615,20,0.46
Martinez 1980,Ciliates,Euplotes,Euplotes harpa,AU,Marine,578615,25,0.56
Martinez 1980,Ciliates,Euplotes,Euplotes harpa,AU,Marine,578615,27,0.59
Martinez 1980,Ciliates,Euplotes,Euplotes harpa,AU,Marine,578615,30,0.79
Martinez 1980,Ciliates,Paratetrahymena,Paratetrahymena wassi,AV,Marine,25525,20,0.44
Martinez 1980,Ciliates,Paratetrahymena,Paratetrahymena wassi,AV,Marine,25525,25,0.78
Martinez 1980,Ciliates,Paratetrahymena,Paratetrahymena wassi,AV,Marine,25525,27,1.07
Martinez 1980,Ciliates,Paratetrahymena,Paratetrahymena wassi,AV,Marine,25525,29,1.53
Martinez 1980,Ciliates,Paratetrahymena,Paratetrahymena wassi,AV,Marine,25525,30,1.9
Martinez 1980,Ciliates,Paratetrahymena,Paratetrahymena wassi,AV,Marine,25525,34,2.24
Martinez 1980,Ciliates,Paratetrahymena,Paratetrahymena wassi,AV,Marine,25525,35,1.74
Martinez 1980,Ciliates,Condylostoma,Condylostoma arenarium,AW,Marine,1703397,20,0.39
Martinez 1980,Ciliates,Condylostoma,Condylostoma arenarium,AW,Marine,1703397,25,0.52
Martinez 1980,Ciliates,Condylostoma,Condylostoma arenarium,AW,Marine,1703397,27,0.64
Martinez 1980,Ciliates,Condylostoma,Condylostoma arenarium,AW,Marine,1703397,29,0.78
Martinez 1980,Ciliates,Condylostoma,Condylostoma arenarium,AW,Marine,1703397,31,0.69
Martinez 1980,Ciliates,Euplotes,Euplotes trisulcatus,AX,Marine,37322,20,0.35
Martinez 1980,Ciliates,Euplotes,Euplotes trisulcatus,AX,Marine,37322,25,0.64
Martinez 1980,Ciliates,Euplotes,Euplotes trisulcatus,AX,Marine,37322,29,1.06
Martinez 1980,Ciliates,Euplotes,Euplotes trisulcatus,AX,Marine,37322,31,1.28
Martinez 1980,Ciliates,Euplotes,Euplotes trisulcatus,AX,Marine,37322,33,1.34
Martinez 1980,Ciliates,Euplotes,Euplotes trisulcatus,AX,Marine,37322,35,0.82
Martinez 1980,Ciliates,Uronema,Uronema marinum,XXX,Marine,,20,6.9
Martinez 1980,Ciliates,Uronema,Uronema marinum,XXX,Marine,,25,8.25
Martinez 1980,Ciliates,Uronema,Uronema marinum,XXX,Marine,,27,7.41
Muller 1991,Ciliates,Pseudobalanion,Pseudobalanion planctonicum,AY,Freshwater,1201,5.5,0.463
Muller 1991,Ciliates,Pseudobalanion,Pseudobalanion planctonicum,AY,Freshwater,1269,9,0.83
Muller 1991,Ciliates,Pseudobalanion,Pseudobalanion planctonicum,AY,Freshwater,1419,12,0.96
Muller 1991,Ciliates,Pseudobalanion,Pseudobalanion planctonicum,AY,Freshwater,1236,15.5,1.257
Muller 1991,Ciliates,Pseudobalanion,Pseudobalanion planctonicum,AY,Freshwater,1437,18.5,1.507
Muller 1991,Ciliates,Pseudobalanion,Pseudobalanion planctonicum,AY,Freshwater,1310,21.5,0
Muller and Geller 1993,Ciliates,Urotricha,Urotricha furcata,AZ,Freshwater,2750,5.5,0.46
Muller and Geller 1993,Ciliates,Urotricha,Urotricha furcata,AZ,Freshwater,2750,9,0.52
Muller and Geller 1993,Ciliates,Urotricha,Urotricha furcata,AZ,Freshwater,2750,12,0.66
Muller and Geller 1993,Ciliates,Urotricha,Urotricha furcata,AZ,Freshwater,2750,15.5,0.75
Muller and Geller 1993,Ciliates,Urotricha,Urotricha furcata,AZ,Freshwater,2750,18.5,1.33
Muller and Geller 1993,Ciliates,Urotricha,Urotricha furcata,AZ,Freshwater,2750,21.5,1.72
Muller and Geller 1993,Ciliates,Pelagostrombidium,Pelagostrombidium fallax,BA,Freshwater,36200,5.5,0.03
Muller and Geller 1993,Ciliates,Pelagostrombidium,Pelagostrombidium fallax,BA,Freshwater,36200,9,0.21
Muller and Geller 1993,Ciliates,Pelagostrombidium,Pelagostrombidium fallax,BA,Freshwater,36200,12,0.42
Muller and Geller 1993,Ciliates,Pelagostrombidium,Pelagostrombidium fallax,BA,Freshwater,36200,15.5,0.57
Muller and Geller 1993,Ciliates,Pelagostrombidium,Pelagostrombidium fallax,BA,Freshwater,36200,18.5,0.76
Muller and Geller 1993,Ciliates,Pelagostrombidium,Pelagostrombidium fallax,BA,Freshwater,36200,21.5,0.9
Muller and Geller 1993,Ciliates,Strobilidium,Strobilidium lacustris,BB,Freshwater,71800,5.5,0.43
Muller and Geller 1993,Ciliates,Strobilidium,Strobilidium lacustris,BB,Freshwater,71800,9,0.6
Muller and Geller 1993,Ciliates,Strobilidium,Strobilidium lacustris,BB,Freshwater,71800,12,0.7
Muller and Geller 1993,Ciliates,Strobilidium,Strobilidium lacustris,BB,Freshwater,71800,15.5,0.99
Muller and Geller 1993,Ciliates,Strobilidium,Strobilidium lacustris,BB,Freshwater,71800,18.5,1.38
Muller and Geller 1993,Ciliates,Strobilidium,Strobilidium lacustris,BB,Freshwater,71800,21.5,1.42
Muller and Geller 1993,Ciliates,Pelagostrombidium,Pelagostrombidium planc,XXY,Freshwater,,5.5,0.46
Muller and Geller 1993,Ciliates,Pelagostrombidium,Pelagostrombidium planc,XXY,Freshwater,,9,0.83
Muller and Geller 1993,Ciliates,Pelagostrombidium,Pelagostrombidium planc,XXY,Freshwater,,12,0.94
Muller and Geller 1993,Ciliates,Pelagostrombidium,Pelagostrombidium planc,XXY,Freshwater,,15.5,1.24
Muller and Geller 1993,Ciliates,Pelagostrombidium,Pelagostrombidium planc,XXY,Freshwater,,18.5,1.52
Walton et al. 1995,Ciliates,Euplotes,Euplotes vannus,BD,Marine,59000,10,0.26
Walton et al. 1995,Ciliates,Euplotes,Euplotes vannus,BD,Marine,59000,15,0.62
Walton et al. 1995,Ciliates,Euplotes,Euplotes vannus,BD,Marine,59000,20,1.22
Walton et al. 1995,Ciliates,Euplotes,Euplotes vannus,BD,Marine,59000,25,1.01
Walton et al. 1995,Ciliates,Euplotes,Euplotes vannus,BD,Marine,59000,30,1.32
Walton et al. 1995,Ciliates,Euplotes,Euplotes vannus,BE,Marine,59000,10,0.31
Walton et al. 1995,Ciliates,Euplotes,Euplotes vannus,BE,Marine,59000,15,0.24
Walton et al. 1995,Ciliates,Euplotes,Euplotes vannus,BE,Marine,59000,20,1.13
Walton et al. 1995,Ciliates,Euplotes,Euplotes vannus,BE,Marine,59000,25,0.62
Walton et al. 1995,Ciliates,Euplotes,Euplotes vannus,BE,Marine,59000,30,0.86
Walton et al. 1995,Ciliates,Euplotes,Euplotes vannus,BF,Marine,59000,10,0.12
Walton et al. 1995,Ciliates,Euplotes,Euplotes vannus,BF,Marine,59000,15,0.62
Walton et al. 1995,Ciliates,Euplotes,Euplotes vannus,BF,Marine,59000,20,0.82
Walton et al. 1995,Ciliates,Euplotes,Euplotes vannus,BF,Marine,59000,25,0.82
Walton et al. 1995,Ciliates,Euplotes,Euplotes vannus,BF,Marine,59000,30,0.6
Walton et al. 1995,Ciliates,Euplotes,Euplotes vannus,BG,Marine,59000,10,0.58
Walton et al. 1995,Ciliates,Euplotes,Euplotes vannus,BG,Marine,59000,15,0.36
Walton et al. 1995,Ciliates,Euplotes,Euplotes vannus,BG,Marine,59000,20,0.82
Walton et al. 1995,Ciliates,Euplotes,Euplotes vannus,BG,Marine,59000,25,1.3
Walton et al. 1995,Ciliates,Euplotes,Euplotes vannus,BG,Marine,59000,30,0.82
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha furcata,BH,Freshwater,2090,10,0.25
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha furcata,BH,Freshwater,1400,15,0.8
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha furcata,BH,Freshwater,1140,20,1
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha furcata,BH,Freshwater,1100,25,1
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha furcata,BI,Freshwater,2138,10,0.43
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha furcata,BI,Freshwater,1864,15,0.84
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha furcata,BI,Freshwater,1093,25,0.95
